user,employer,category1,category2,user_tone,audience_tone,qualified
dmorey,,sports,,fun,debate,1
EdwerderRFA,,sports,,neutral,neutral,1
realjerryjones,,sports,,neutral,mockery,1
johnelway,,sports,,neutral,neutral,1
TimTebow,ESPN,sports,,positive,supportive,1
TonyDungy,NBC,sports,,positive,unknown,1
JerryRice,,sports,,neutral,unknown,1
MichaelVick,Fox Sports,sports,,debate,neutral,1
FO_ASchatz,,sports,,debate,neutral,1
DeionSanders,,sports,,neutral,unknown,1
JayGlazer,Fox Sports,sports,,neutral,neutral,1
Adam Schefter,ESPN,sports,,neutral,neutral,1
