user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text,reply_count,ratio,ratio_inv,timestamp_scrape
x43139414,RealSkipBayless,2018-11-12T03:10:53Z,x1061818588946825216,255,29,I feel like I've already sweated out two games and we're just starting the second half.,22,0.077464789,12.90909091,2018-11-12T16:44:00Z
x43139414,RealSkipBayless,2018-11-12T02:48:55Z,x1061813057096019968,786,133,That's when Dak is DAK (minus the sack). Just rock and fire. Throw it like he MEANS IT.,70,0.07616975,13.12857143,2018-11-12T16:44:00Z
x43139414,RealSkipBayless,2018-11-11T20:17:46Z,x1061714623408168960,669,117,"Guess the Saints are going to be OK without Dez. Up 45-7 at Cincy as they surge toward 8-1. Drew Brees is doing with only one real threat at WR, Michael Thomas, who is no speedster.",58,0.073791349,13.55172414,2018-11-12T16:44:00Z
x43139414,RealSkipBayless,2018-11-11T05:32:50Z,x1061491920281587713,4883,1409,Luke Walton is ruining Lonzo Ball.,461,0.073267641,13.64859002,2018-11-12T16:44:00Z
x43139414,RealSkipBayless,2018-11-11T00:29:17Z,x1061415529674469376,616,106,"OU survives at home 48-47 when OKSt QB Cornelius finally throws a poor 2-pt pass for the win. OU finally fired defensive coordinator MStoops and it hasn't helped. OKSt: 640 yds, 501 passing, 39 1st downs. Just embarrassing. WVa might score 80 on OU at WVa.",51,0.070637119,14.15686275,2018-11-12T16:44:00Z
x43139414,RealSkipBayless,2018-11-12T02:51:21Z,x1061813670383038464,1066,138,If Zeke hadn't lost his balance after that incredible hurdle ...,85,0.070598007,14.16470588,2018-11-12T16:44:00Z
x43139414,RealSkipBayless,2018-11-12T04:36:15Z,x1061840071794450432,1737,373,"Wonder if ""Unc"" has downed an extra bottle of Henny to drown the pain? Wonder if Shannon Sharpe, president of the National Cowboy Haters, will show up tomorrow at 9:30 E for Undisputed?",148,0.07014218,14.25675676,2018-11-12T16:44:00Z
x43139414,RealSkipBayless,2018-11-12T04:22:23Z,x1061836581021990912,721,98,They just had to make this nervous.,55,0.067155067,14.89090909,2018-11-12T16:44:00Z
x43139414,RealSkipBayless,2018-11-12T02:20:31Z,x1061805914087247872,2478,368,WHAT A HURDLE BY ZEKE. UFNORTUNATELY LOST HIS BALANCE OR HE WOULD'VE SCORED. NOW IT WILL BE TOUGH. PLAY OF THE YEAR!,189,0.066408995,15.05820106,2018-11-12T16:44:00Z
x43139414,RealSkipBayless,2018-11-12T03:48:17Z,x1061827998888816640,642,101,Rare good play call by Linehan.,49,0.065948856,15.16326531,2018-11-12T16:44:00Z
x43139414,RealSkipBayless,2018-11-12T05:01:48Z,x1061846499976331265,4028,1155,"LeBron James is the worst superstar late-game, close-game free throw shooter ever - his Achilles heel. Never seen anything like it.",325,0.062704997,15.94769231,2018-11-12T16:44:00Z
x43139414,RealSkipBayless,2018-11-12T21:03:13Z,x1062088448293490688,28,4,Today's Undisputed podcast: https://t.co/AsfiWOjYyJ,2,0.0625,16,2018-11-12T16:44:00Z
x43139414,RealSkipBayless,2018-11-12T04:10:09Z,x1061833502675456000,278,34,PASS RUSH. TURNOVER.,19,0.060897436,16.42105263,2018-11-12T16:44:00Z
x43139414,RealSkipBayless,2018-11-12T04:20:40Z,x1061836149864316928,820,121,Vander Esch made a terrific athletic play. But Jaylon Smith was flying in and would've made the tackle for a short gain at best.,57,0.060573858,16.50877193,2018-11-12T16:44:00Z
x43139414,RealSkipBayless,2018-11-12T02:15:31Z,x1061804654009319424,307,33,Maybe they should use Jeff Heath on offense. What a pile-drive.,20,0.058823529,17,2018-11-12T16:44:00Z
x43139414,RealSkipBayless,2018-11-12T04:07:28Z,x1061832827052810240,1428,278,That was a vintage Dak/Zeke road drive for TD. HAVE I EVER MISSED THEM.,96,0.056271981,17.77083333,2018-11-12T16:44:00Z
x43139414,RealSkipBayless,2018-11-10T20:51:49Z,x1061360804337860608,7692,1301,"I love the Jimmy Butler trade for the Sixers. Now that Philly has 3 of the top 6 players in the East - including the East's best player, Joel Embiid, who made a stunningly clutch 19 of 22 FTs last night - I give the Sixers a very good shot at playing Golden State in the Finals.",503,0.055932392,17.87872763,2018-11-12T16:44:00Z
x43139414,RealSkipBayless,2018-11-12T04:27:26Z,x1061837851300515840,3004,537,I WAS SO WRONG ABOUT THIS GAME. AND I AM SO HAPPY!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,192,0.054221971,18.44270833,2018-11-12T16:44:00Z
x43139414,RealSkipBayless,2018-11-12T04:56:26Z,x1061845148303126528,1599,385,"LeBron just LeBricked TWO free throws, one for the win, next for the tie, then Kuzma rebounded and missed and LeBron follow-dunked for a one-point lead. Saved from the ultimate humiliation. 15 secs left.",102,0.05141129,19.45098039,2018-11-12T16:44:00Z
x43139414,RealSkipBayless,2018-11-12T01:46:49Z,x1061797433154318336,714,81,"At this rate, the Vander Esch interception return might end up being the best offensive play of the night.",38,0.047798742,20.92105263,2018-11-12T16:44:00Z
x43139414,RealSkipBayless,2018-11-12T04:26:42Z,x1061837667124441088,12484,4393,HOW BOUT THEM COWBOYS!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,801,0.047461042,21.06991261,2018-11-12T16:44:00Z
x43139414,RealSkipBayless,2018-11-12T00:03:58Z,x1061771548934070273,1312,250,I said before the season that Houston adding Melo would be subtraction by addition. I said Melo would make them worse. Sounds like he won't even last to Thanksgiving.,74,0.04737516,21.10810811,2018-11-12T16:44:00Z
x43139414,RealSkipBayless,2018-11-12T05:23:57Z,x1061852076123152385,3859,827,I despise the Philadelphia Eagles. That was as satisfyingly unexpected a win as I can ever remember. CryEaglesCry.,205,0.043747332,22.85853659,2018-11-12T16:44:00Z
x43139414,RealSkipBayless,2018-11-12T04:33:41Z,x1061839424894324736,2892,463,"I was so wrong the day after the draft about Leighton Vander Esch. He's long, rangy, athletic and fast with terrific instincts and anticipation. He and Jaylon Smith could be attending Pro Bowls together at some point.",126,0.037555887,26.62698413,2018-11-12T16:44:00Z
x43139414,RealSkipBayless,2018-11-12T16:17:04Z,x1062016436313317376,922,118,You can have Sam Darnold. I'm sticking with Baker Mayfield. Next on @undisputed,35,0.033653846,29.71428571,2018-11-12T16:44:00Z
